Date,FII Gross Purchase,FII Gross Sales,FII Net Purchase / Sales,DII Gross Purchase,DII Gross Sales,DII Net Purchase / Sales
June 2026,340120.27,389148.90,-49028.63,422821.98,337021.84,85800.14
May 2026,353913.83,409877.16,-55963.33,361325.17,278656.24,82668.93
April 2026,303387.09,373522.55,-70135.46,377771.28,326707.41,51063.87
March 2026,278800.39,401340.80,-122540.41,414657.07,271696.70,142960.37
February 2026,339315.95,345956.73,-6640.78,346722.22,308299.11,38423.11
January 2026,300257.57,341692.79,-41435.22,364373.29,295152.55,69220.74
December 2025,249054.90,283404.52,-34349.62,356905.61,277285.70,79619.91
November 2025,307573.59,325073.90,-17500.31,318136.71,241052.93,77083.78
October 2025,261117.36,263464.25,-2346.89,314238.53,261444.51,52794.02
September 2025,278843.46,314144.82,-35301.36,326751.09,261407.50,65343.59
August 2025,268077.36,314980.28,-46902.92,293563.09,198734.54,94828.55
July 2025,284138.54,331805.22,-47666.68,321827.75,260888.59,60939.16
June 2025,349580.23,342091.25,7488.98,350402.34,277728.43,72673.91
May 2025,351188.38,339415.13,11773.25,298232.50,230590.16,67642.34
April 2025,299966.45,297231.43,2735.02,273363.93,245135.48,28228.45
March 2025,296455.65,294441.47,2014.18,274791.22,237205.54,37585.68
February 2025,259256.89,318244.97,-58988.08,277187.00,212333.81,64853.19
January 2025,242699.59,330074.25,-87374.66,339689.44,253097.64,86591.80
December 2024,299628.86,316611.34,-16982.48,289749.74,255555.01,34194.73
November 2024,306735.44,352709.56,-45974.12,229409.09,184925.23,44483.86
October 2024,299260.34,413706.23,-114445.89,340159.30,232904.62,107254.68
September 2024,391389.27,378777.48,12611.79,316811.13,285953.83,30857.30
August 2024,422672.77,443012.03,-20339.26,314795.72,264620.86,50174.86
July 2024,355944.77,350536.94,5407.83,340739.13,317253.11,23486.02
June 2024,391740.96,389703.49,2037.47,337468.58,308835.43,28633.15
May 2024,381296.83,423511.11,-42214.28,291806.13,236073.09,55733.04
April 2024,277880.20,313572.39,-35692.19,257826.14,213639.86,44186.28
March 2024,365393.17,362078.70,3314.47,246251.16,189939.56,56311.60
February 2024,345878.76,361841.48,-15962.72,240482.15,215102.85,25379.30
January 2024,324457.56,360435.43,-35977.87,258423.80,231680.17,26743.63
