STOCK,SECTOR
ABB,CAPITAL GOODS
ACC,CEMENT
ADANIENT,CAPITAL GOODS
ADANIPORTS,CAPITAL GOODS
AMBUJACEM,CEMENT
APOLLOHOSP,MISCELLANEOUS
ASIANPAINT,CHEMICALS
AUROPHARMA,PHARMACEUTICALS
AXISBANK,FINANCIAL SERVICES
BAJAJAUTO,AUTOMOTIVE
BAJAJFINSV,FINANCIAL SERVICES
BAJFINANCE,FINANCIAL SERVICES
BANKBARODA,FINANCIAL SERVICES
BEL,CAPITAL GOODS
BHARTIARTL,TELECOM SERVICES
BHEL,CAPITAL GOODS
BOSCHLTD,AUTOMOTIVE
BPCL,ENERGY
BRITANNIA,FMCG
CAIRN,ENERGY
CIPLA,PHARMACEUTICALS
COALINDIA,METALS
DIVISLAB,PHARMACEUTICALS
DLF,MISCELLANEOUS
DRREDDY,PHARMACEUTICALS
EICHERMOT,AUTOMOTIVE
ETERNAL,CONSUMER DISCRETIONARY
GAIL,ENERGY
GLAXO,PHARMACEUTICALS
GRASIM,CHEMICALS
HCLTECH,INFORMATION TECHNOLOGY
HDFC,FINANCIAL SERVICES
HDFCBANK,FINANCIAL SERVICES
HDFCLIFE,FINANCIAL SERVICES
HEROMOTOCO,AUTOMOTIVE
HINDALCO,METALS
HINDPETRO,ENERGY
HINDUNILVR,FMCG
IBULHSGFIN,FINANCIAL SERVICES
ICICIBANK,FINANCIAL SERVICES
IDEA,TELECOM SERVICES
IDFC,FINANCIAL SERVICES
INDUSINDBK,FINANCIAL SERVICES
INFRATEL,TELECOM SERVICES
INFY,INFORMATION TECHNOLOGY
IOC,ENERGY
ITC,FMCG
JINDALSTEL,METALS
JIOFIN,FINANCIAL SERVICES
JPASSOCIAT,CEMENT
JSWSTEEL,METALS
KOTAKBANK,FINANCIAL SERVICES
LT,CAPITAL GOODS
LTIM,INFORMATION TECHNOLOGY
LUPIN,PHARMACEUTICALS
M&M,AUTOMOTIVE
MARUTI,AUTOMOTIVE
MCDOWELL-N,CONSUMER DISCRETIONARY
NATIONALUM,METALS
NESTLEIND,FMCG
NMDC,METALS
NTPC,UTILITIES
ONGC,ENERGY
PNB,FINANCIAL SERVICES
POWERGRID,UTILITIES
RANBAXY,PHARMACEUTICALS
RCOM,TELECOM SERVICES
RELCAPITAL,FINANCIAL SERVICES
RELIANCE,ENERGY
RELINFRA,UTILITIES
RPL,ENERGY
RPOWER,UTILITIES
SAIL,METALS
SATYAMCOMP,INFORMATION TECHNOLOGY
SBILIFE,FINANCIAL SERVICES
SBIN,FINANCIAL SERVICES
SESAGOA,METALS
SHREECEM,CEMENT
SHRIRAMFIN,FINANCIAL SERVICES
SIEMENS,CAPITAL GOODS
STER,TELECOM SERVICES
SUNPHARMA,PHARMACEUTICALS
SUZLON,ENERGY
TATACOMM,TELECOM SERVICES
TATACONSUM,FMCG
TATAMOTORS,AUTOMOTIVE
TATAPOWER,UTILITIES
TATASTEEL,METALS
TCS,INFORMATION TECHNOLOGY
TECHM,INFORMATION TECHNOLOGY
TITAN,CONSUMER DISCRETIONARY
TRENT,CONSUMER DISCRETIONARY
ULTRACEMCO,CEMENT
UNITECH,MISCELLANEOUS
UPL,CHEMICALS
VEDL,METALS
VSNL,TELECOM SERVICES
WIPRO,INFORMATION TECHNOLOGY
YESBANK,FINANCIAL SERVICES
ZEEL,MISCELLANEOUS
