TICKER,FIRST_DATE,LAST_DATE,NONZERO_COUNT
ABB,2008-01-31,2010-08-31,33
ACC,2008-01-31,2017-08-31,120
ADANIENT,2022-09-30,2025-08-31,36
ADANIPORTS,2015-09-28,2025-08-31,120
AMBUJACEM,2008-01-31,2018-02-28,126
APOLLOHOSP,2022-03-31,2025-08-31,42
ASIANPAINT,2012-04-01,2025-08-31,165
AUROPHARMA,2016-04-01,2018-02-28,24
AXISBANK,2009-04-01,2025-08-31,201
BAJAJAUTO,2008-01-31,2025-08-31,185
BAJAJFINSV,2018-04-01,2025-08-31,90
BAJFINANCE,2017-10-03,2025-08-31,96
BANKBARODA,2012-04-01,2017-08-31,69
BEL,2024-10-01,2025-08-31,12
BHARTIARTL,2008-01-31,2025-08-31,216
BHEL,2008-01-31,2017-02-28,114
BOSCHLTD,2015-05-29,2018-02-28,34
BPCL,2008-01-31,2025-02-28,210
BRITANNIA,2019-04-01,2025-02-28,72
CAIRN,2008-01-31,2016-02-29,102
CIPLA,2008-01-31,2025-08-31,216
COALINDIA,2011-10-01,2025-08-31,171
DIVISLAB,2020-09-25,2024-08-31,48
DLF,2008-04-01,2015-02-28,88
DRREDDY,2008-01-31,2025-08-31,191
EICHERMOT,2016-04-01,2025-08-31,114
ETERNAL,2025-04-01,2025-08-31,6
GAIL,2008-01-31,2021-02-28,162
GLAXO,2008-01-31,2008-02-29,2
GRASIM,2008-01-31,2025-08-31,194
HCLTECH,2008-01-31,2025-08-31,216
HDFC,2008-01-31,2023-05-31,189
HDFCBANK,2008-01-31,2025-08-31,216
HDFCLIFE,2020-07-31,2025-08-31,62
HEROMOTOCO,2008-01-31,2025-08-31,216
HINDALCO,2008-01-31,2025-08-31,216
HINDPETRO,2017-10-03,2019-02-28,18
HINDUNILVR,2008-01-31,2025-08-31,216
IBULHSGFIN,2017-04-01,2019-08-26,30
ICICIBANK,2008-01-31,2025-08-31,216
IDEA,2008-01-31,2017-02-28,57
IDFC,2009-10-01,2015-04-30,71
INDUSINDBK,2013-04-01,2025-08-31,151
INFRATEL,2016-04-01,2020-08-30,54
INFY,2008-01-31,2025-08-31,216
IOC,2017-04-01,2022-02-28,60
ITC,2008-01-31,2025-08-31,216
JINDALSTEL,2009-06-17,2015-02-28,72
JIOFIN,2025-04-01,2025-08-31,6
JPASSOCIAT,2009-10-01,2014-02-27,57
JSWSTEEL,2018-10-01,2025-08-31,84
KOTAKBANK,2010-04-01,2025-08-31,189
LT,2008-01-31,2025-08-31,216
LTIM,2023-07-01,2024-08-31,15
LUPIN,2012-10-01,2018-08-31,74
M&M,2008-01-31,2025-08-31,216
MARUTI,2008-01-31,2025-08-31,216
MCDOWELL-N,2014-03-28,2014-08-31,6
NATIONALUM,2008-01-31,2009-08-30,21
NESTLEIND,2019-08-27,2025-08-31,72
NMDC,2013-04-01,2015-08-31,31
NTPC,2008-01-31,2025-08-31,216
ONGC,2008-01-31,2025-08-31,216
PNB,2008-01-31,2016-02-29,102
POWERGRID,2008-04-01,2025-08-31,214
RANBAXY,2008-01-31,2014-02-27,78
RCOM,2008-01-31,2012-02-29,51
RELCAPITAL,2009-01-12,2011-08-31,33
RELIANCE,2008-01-31,2025-08-31,216
RELINFRA,2008-01-31,2013-09-30,72
RPL,2008-01-31,2009-05-31,18
RPOWER,2008-10-01,2012-02-29,43
SAIL,2008-01-31,2012-09-30,58
SATYAMCOMP,2008-01-31,2008-12-31,12
SBILIFE,2020-09-25,2025-08-31,60
SBIN,2008-01-31,2025-08-31,216
SESAGOA,2010-10-01,2013-09-30,39
SHREECEM,2020-03-19,2022-08-31,30
SHRIRAMFIN,2024-03-28,2025-08-31,18
SIEMENS,2008-01-31,2013-03-31,65
STER,2008-01-31,2012-09-30,58
SUNPHARMA,2008-01-31,2025-08-31,216
SUZLON,2008-01-31,2011-02-28,39
TATACOMM,2008-04-01,2009-08-30,19
TATACONSUM,2021-03-31,2025-08-31,54
TATAMOTORS,2008-01-31,2025-08-31,216
TATAPOWER,2008-01-31,2017-08-31,120
TATASTEEL,2008-01-31,2025-08-31,216
TCS,2008-01-31,2025-08-31,216
TECHM,2014-03-28,2025-08-31,138
TITAN,2018-04-01,2025-08-31,90
TRENT,2024-10-01,2025-08-31,12
ULTRACEMCO,2012-10-01,2025-08-31,158
UNITECH,2008-01-31,2010-08-31,33
UPL,2017-10-03,2024-02-28,78
VEDL,2013-10-04,2020-06-30,68
VSNL,2008-01-31,2008-02-29,2
WIPRO,2008-01-31,2025-08-31,209
YESBANK,2015-03-27,2020-02-29,60
ZEEL,2008-01-31,2020-08-30,87
